make_id,model_id,released_year,image_name,view,bbox_number,bbox_cor
135,947,2009,69ada64edf3ebb.jpg,4,1,40 103 769 525
135,947,2009,b00fef3e12bdf0.jpg,4,1,20 33 774 521
135,947,2009,60b5fa727f82f2.jpg,4,1,64 220 743 447
135,947,2009,13916301245610.jpg,4,1,67 69 744 464
135,947,2009,83ce148be0dcb5.jpg,4,1,301 254 657 446
135,947,2009,6c0b42e75ca247.jpg,5,1,121 330 599 541
135,947,2009,26eeecb834a607.jpg,4,1,31 157 775 506
135,947,2009,deab76f22e8937.jpg,3,1,29 256 774 521
135,947,2009,8bd01b7f9f75e6.jpg,3,1,90 122 730 314
135,947,2009,cc2a128df97e95.jpg,4,1,18 155 788 497
135,947,2009,2363729fc5d15c.jpg,3,1,36 312 763 537
135,947,2009,6eb62be44a79c6.jpg,3,1,39 246 767 476
135,947,2009,6c21604f0ee59f.jpg,3,1,31 263 771 515
135,947,2009,f2b269e5a456a7.jpg,4,1,46 205 759 479
135,947,2009,2fed76a9e79c11.jpg,3,1,25 209 782 461
135,947,2009,7791452aba08a4.jpg,-1,1,72 25 732 509
135,947,2009,a84632d35b692d.jpg,4,1,15 55 783 490
135,947,2009,7032da89a64e35.jpg,4,1,267 293 710 509
135,947,unknown,82ce62aa3c4e27.jpg,5,1,81 49 831 604
135,947,unknown,b09904ea09f6e6.jpg,4,1,13 77 890 576
135,947,unknown,826a5fd082682c.jpg,2,1,96 53 817 596
135,947,unknown,c07ff3414cb19c.jpg,3,1,53 264 845 528
135,947,unknown,815db2a9fcf3ba.jpg,4,1,40 130 885 617
135,947,unknown,e4d751725ff2c6.jpg,4,1,25 191 893 597
135,947,unknown,1b8427651ca4f0.jpg,3,1,33 307 875 605
135,947,unknown,dd544cdfc06d2e.jpg,3,1,30 255 890 540
135,947,unknown,ee1c877e577a49.jpg,3,1,110 153 854 375
135,947,unknown,5845eb2dec2c26.jpg,4,1,23 56 880 612
135,947,unknown,5fcb9ed2d8abc9.jpg,5,1,67 171 840 593
135,947,unknown,260296d45c25e1.jpg,1,1,203 310 697 611
135,947,unknown,43486ad96730ea.jpg,3,1,36 384 886 627
135,947,unknown,bb2e4461b52ebb.jpg,4,1,323 354 831 599
135,947,unknown,cf5ee8268ba409.jpg,4,1,354 306 763 527
135,947,unknown,7108c1f58029e6.jpg,3,1,19 317 897 616
135,947,unknown,7fa62501aae5b6.jpg,3,1,53 251 878 567
135,947,unknown,ff883497a73f5f.jpg,5,1,134 386 673 627
135,947,unknown,136143e0593073.jpg,4,1,19 193 897 583
135,947,unknown,979f9963ae4e56.jpg,3,1,29 298 893 573
135,947,unknown,afddad0f469a1a.jpg,4,1,75 97 844 546
135,947,unknown,a57f0da7a9f4b3.jpg,1,1,140 126 752 512
135,945,2012,fb27a6a69ebad9.jpg,4,1,24 95 769 448
135,945,2012,1956321b401b78.jpg,5,1,111 85 670 439
135,945,2012,d835897448826f.jpg,5,1,27 129 775 447
135,945,2012,20eb4798a859f6.jpg,4,1,17 152 702 476
135,945,2012,cd783c12dcc12b.jpg,2,1,119 55 696 499
135,945,2012,196be0c4da8eee.jpg,4,1,176 166 655 464
135,945,2012,1e372056631857.jpg,5,1,77 159 742 524
135,945,2010,1aa787980ac30f.jpg,4,1,55 246 735 536
135,945,2010,351a9f3c23da8f.jpg,4,1,67 321 724 567
135,945,2010,5ff14cfd6ec741.jpg,4,1,67 136 706 445
135,945,2010,5454f38bcb9cf8.jpg,2,1,189 147 664 486
135,945,2010,56c984a9b401f3.jpg,4,1,70 242 821 626
135,945,2010,b0e3ec530f764e.jpg,1,1,137 51 654 465
135,945,2010,241d5bc553e9cf.jpg,4,1,101 171 734 462
135,945,2010,55e73bff5a0209.jpg,5,1,26 184 776 510
135,945,2010,29dba8b04ef96a.jpg,1,1,81 85 829 615
135,945,2010,fdd9978fa40a85.jpg,5,1,40 203 857 610
135,945,2010,c4a531481dbce9.jpg,4,1,356 326 565 478
135,945,2010,843b7e3ceef9f7.jpg,1,1,200 113 637 424
135,945,2010,e6622b46ce4945.jpg,4,1,93 144 816 551
135,945,2010,a55f2698a8f5ca.jpg,4,1,6 274 901 590
135,945,2010,2c358795f98b84.jpg,4,1,146 148 709 469
135,945,2010,352eb9acc4102b.jpg,4,1,115 244 644 534
135,945,2010,0128147ca0a149.jpg,5,1,25 84 720 440
135,945,2010,a481f33d8f0830.jpg,4,1,5 225 494 475
135,945,2010,8771813ec58823.jpg,4,1,95 290 694 522
135,945,2010,b0f3471feffe25.jpg,4,1,252 187 669 463
135,945,2010,8b546357cf81cc.jpg,2,1,119 116 671 524
135,945,2010,7dea082d8719e4.jpg,5,1,14 106 879 600
135,945,2010,968d197d9bc27f.jpg,1,1,202 95 709 443
135,945,2010,be3db985c1fbdc.jpg,5,1,221 158 627 346
135,945,2010,9c147ebb629d84.jpg,1,1,226 139 740 511
135,945,2010,1040109e845139.jpg,5,1,5 138 907 611
135,945,2010,52d36be7670295.jpg,4,1,136 120 706 459
135,945,2010,3a216ddb8abe25.jpg,3,1,48 349 748 558
135,945,2010,f263e60fdcfdf1.jpg,4,1,106 146 694 440
135,945,2010,5440ec5d7bfea7.jpg,5,1,87 280 723 519
135,945,2010,7d8343ac92fea7.jpg,5,1,4 145 907 626
135,945,2010,e3cea806011f3d.jpg,4,1,21 237 874 589
135,945,2010,5aeb8b9023631f.jpg,5,1,61 161 848 579
135,945,2010,eb562b352a1b83.jpg,4,1,222 110 848 534
135,945,2010,e372c6121eb8b5.jpg,1,1,138 84 673 444
135,945,2010,09cace9335693b.jpg,4,1,53 107 784 467
135,945,2010,fed409b5c0f7fe.jpg,5,1,131 339 636 575
135,945,2010,8e1fcaa0390edd.jpg,4,1,91 161 809 512
135,945,2010,593d14fb1eab93.jpg,4,1,48 214 875 600
135,945,2010,18afeab10e9784.jpg,5,1,204 254 760 496
135,945,2010,52fa6da7a20daf.jpg,5,1,254 309 883 578
135,945,2010,48d74bf2fb82ad.jpg,5,1,172 264 630 438
135,945,2010,49e4d1f712b657.jpg,5,1,122 138 695 515
135,945,2010,7e8cbc1c26172b.jpg,4,1,72 229 668 438
135,945,2010,f5077fff00f4fc.jpg,3,1,3 248 906 539
